id,x_coord,y_coord,name
8, 54.9175448, 23.8388546, Veršvų piliakalnis - viewpoint
15, 54.8996897, 23.8730419, Nemuno ir Neries santaka - viewpoint
17, 54.8924967, 23.8820796, Unknown - viewpoint
18, 54.8996897, 23.8730419, Nemuno ir Neries santaka - viewpoint
31, 54.8915496, 23.8865074, Aleksoto apžvalgos aikštelė - viewpoint
48, 54.8960429, 23.8866042, Jėzuitų vienuolyno apžvalgos aikštelė - viewpoint
65, 54.8999604, 23.9001281, Pelėdų kalnas - viewpoint
74, 54.9219485, 23.8940856, Vaizdas į Kauną iš Milikonių - viewpoint
75, 54.9281463, 23.9015493, Unknown - viewpoint
86, 54.8717051, 23.9065816, Kalnelis - viewpoint
135, 54.9027243, 23.9171475, Prisikėlimo bažnyčios apžvalgos aikštelė - viewpoint
144, 54.9168889, 23.9149167, Eigulių piliakalnis - viewpoint
181, 54.8447315, 23.9367328, Jiesios atodanga - viewpoint
183, 54.8459218, 23.9367528, Iškyšulys - viewpoint
184, 54.8465015, 23.9364181, Iškyšulys - viewpoint
185, 54.8490978, 23.9356497, Jiesios atodanga - viewpoint
186, 54.8501293, 23.9385170, Iškyšulys - viewpoint
187, 54.8472478, 23.9352447, Jiesios atodanga - viewpoint
189, 54.8538733, 23.9373513, Unknown - viewpoint
208, 54.8826111, 23.9551111, Aukštųjų Šančių piliakalnis - viewpoint
220, 54.8966796, 23.9690712, Panemunės šilo panorama - viewpoint
244, 54.8562106, 24.0192784, Vaizdas į Kauno marias - viewpoint
254, 54.8737417, 24.0248565, Vaizdas į Kauno marias nuo Pažaislio - viewpoint
255, 54.8828267, 24.0239028, Vaizdas į Kauno marias - viewpoint
260, 54.8550584, 24.0383056, Vaizdas į Pažaislio vienuolyną - viewpoint
262, 54.8565944, 24.0337676, Kauno marių pakrančių atodanga - viewpoint
264, 54.8972017, 24.0390488, Unknown - viewpoint
265, 54.8991576, 24.0476595, Vaizdas į Kauno marias - viewpoint
267, 54.9089601, 24.0635853, Lakštingalų slėnis - viewpoint
