id,x_coord,y_coord,name
6, 54.9127999, 23.8211693, UNO Park Kaunas - attraction
10, 54.9146557, 23.8428367, Kartlandas - attraction
13, 54.8802961, 23.8682610, Marvelės kaskados - attraction
14, 54.8802961, 23.8682610, Marvelės kaskados - attraction
16, 54.9293288, 23.8705632, Linkuvos dvaras - attraction
59, 54.9398421, 23.8923259, Megos akvariumas - attraction
87, 54.8712478, 23.9073777, Vabzdžių viešbutis - attraction
88, 54.8713935, 23.9115500, Aukštosios Fredos dvaras - attraction
116, 54.8998674, 23.9231652, Kauko fontanas - attraction
126, 54.8988871, 23.9198090, Break Free - attraction
149, 54.8611111, 23.9279722, Pajiesio piliakalnis - attraction
182, 54.8437626, 23.9376769, Jiesios pažintinis takas - attraction
215, 54.9355000, 23.9597000, Kleboniškio miško pėsčiųjų-dviračių takas - attraction
241, 54.8560833, 24.0190556, Pakalniškių piliakalnis - attraction
242, 54.8557847, 24.0183064, Pakalniškių pažintinis takas - attraction
247, 54.8743380, 24.0229956, Taikos kalno ąžuolas - attraction
250, 54.8763885, 24.0187439, Pažaislio pažintinis takas - attraction
256, 54.8480140, 24.0379154, Dubravos arboretumas - attraction
266, 54.8996667, 24.0504722, Vieškūnų piliakalnis - attraction
