id,x_coord,y_coord,name
3, 38.6960972, -9.2293954, Unknown - artwork
4, 38.7108263, -9.2252266, Santo Ambrósio - artwork
9, 38.7122472, -9.2249323, Cisne - artwork
10, 38.7208488, -9.2277151, Unknown - artwork
16, 38.6958656, -9.2101695, Unknown - artwork
19, 38.6932919, -9.2132942, 1ª Travessia Aérea do Atlântico Sul - artwork
23, 38.7023726, -9.2172368, Torso de Mulher - artwork
24, 38.7024591, -9.2174066, Torso de Homem - artwork
25, 38.7034064, -9.2138771, Calhambeque - artwork
51, 38.6966463, -9.2002673, Afonso de Albuquerque - artwork
60, 38.6966413, -9.2038351, Castle of the Eye - artwork
61, 38.6970702, -9.1999302, Figura Feminina (com criança) - artwork
62, 38.6974970, -9.2083646, Réplica da Pedra de Dighton - artwork
63, 38.6959865, -9.2090292, Caixa (Desmontagem)2 - artwork
64, 38.6958874, -9.2096878, Reclining Figure: Arched Leg, 4/6 - artwork
65, 38.6962027, -9.2006177, Figura Feminina (com cabra) - artwork
66, 38.6969077, -9.2008172, Figura Feminina (com cervo) - artwork
67, 38.6953642, -9.2065452, Cavalos Marinhos - artwork
68, 38.6957368, -9.2050766, Cavalo Marinho - artwork
70, 38.6978158, -9.2084709, Unknown - artwork
76, 38.6966994, -9.2083584, Unknown - artwork
78, 38.7050529, -9.2072675, Nossa Senhora de África - artwork
79, 38.7099379, -9.2044927, Unknown - artwork
80, 38.7092462, -9.2041867, Unknown - artwork
89, 38.7254181, -9.2044347, A Banhista - artwork
113, 38.7604156, -9.2041920, Teófilo Braga - artwork
115, 38.6963628, -9.1997256, Figura Feminina (com cavalo marinho) - artwork
116, 38.6948902, -9.1965393, Unknown - artwork
118, 38.6966618, -9.1959282, Unknown - artwork
122, 38.7014222, -9.1982626, Unknown - artwork
171, 38.7456959, -9.1980613, Fidelidade - artwork
180, 38.7525572, -9.1966121, Fortíssimos consórcios eu desejo - artwork
181, 38.7693098, -9.1978169, Painel de azulejos - artwork
182, 38.7693054, -9.1977559, Painel de azulejos - artwork
184, 38.7761649, -9.1936011, Mural do cavalo - artwork
186, 38.7729443, -9.1949086, Mural dos Simpsons - artwork
196, 38.7194267, -9.1864280, Mãe e Filho - artwork
201, 38.7196856, -9.1861029, Mural do Alvito - artwork
230, 38.7406213, -9.1788408, José Cassiano Neves (1907-90) - artwork
237, 38.7496419, -9.1799714, Se vão da lei da morte libertando - artwork
243, 38.7466666, -9.1866353, General Joaquim José Machado - artwork
244, 38.7599577, -9.1879248, Cruzeiro - artwork
245, 38.7603387, -9.1882242, Unknown - artwork
246, 38.7603446, -9.1882502, Unknown - artwork
247, 38.7602775, -9.1879660, Unknown - artwork
248, 38.7603784, -9.1894651, Unknown - artwork
249, 38.7601201, -9.1887427, Unknown - artwork
250, 38.7601715, -9.1890243, Unknown - artwork
251, 38.7602361, -9.1893640, Unknown - artwork
252, 38.7642931, -9.1813302, Cidade Imaginária - artwork
254, 38.7001174, -9.1746951, Porto de Lisboa - artwork
255, 38.7029218, -9.1737188, Terraço - artwork
275, 38.7355393, -9.1720272, Unknown - artwork
288, 38.7410672, -9.1796227, Mulher Sentada - artwork
290, 38.7406213, -9.1788408, José Cassiano Neves (1907-90) - artwork
295, 38.7435333, -9.1702851, Unknown - artwork
296, 38.7429868, -9.1711078, Unknown - artwork
349, 38.7721001, -9.1738546, Cruzeiro - artwork
350, 38.7735213, -9.1719839, Registo de azulejos - artwork
351, 38.7734647, -9.1719324, Registo de azulejos - artwork
352, 38.7735468, -9.1724931, Registo de azulejos - artwork
367, 38.7079296, -9.1614850, Azulejo Artwork - artwork
368, 38.7084983, -9.1627511, Azulejo artwork - artwork
369, 38.7057143, -9.1600391, Azulejo Artwork - artwork
372, 38.7096865, -9.1624848, Azulejo Artwork - artwork
374, 38.7054360, -9.1614010, Venus;Cupido - artwork
375, 38.7105344, -9.1649598, O mar - artwork
376, 38.7097995, -9.1658140, Unknown - artwork
377, 38.7094282, -9.1662439, Unknown - artwork
378, 38.7070782, -9.1672721, Louvor da Vivacidade - artwork
379, 38.7092320, -9.1664295, Unknown - artwork
380, 38.7101682, -9.1653866, Unknown - artwork
381, 38.7023601, -9.1691660, Unknown - artwork
383, 38.7126132, -9.1652612, Azulejo Artwork - artwork
385, 38.7131336, -9.1665336, sv2 - artwork
388, 38.7152542, -9.1603804, Alegoria (Escultura em lago, c/ leão) - artwork
389, 38.7131552, -9.1600983, O Lavrador ou Sagrada Família - artwork
390, 38.7142911, -9.1600865, Alegoria (Escultura em lago, c/ cão) - artwork
393, 38.7156042, -9.1640666, Painel de Azulejos Arte Nova - artwork
395, 38.7148629, -9.1673784, O Bairro - artwork
405, 38.7342271, -9.1692915, Escultura (sem título) - artwork
406, 38.7401026, -9.1676534, Sete Rios - artwork
409, 38.7370366, -9.1600017, Quatro Poços de Água no Parque - artwork
410, 38.7374979, -9.1621526, Quatro Poços de Água no Parque - artwork
411, 38.7399947, -9.1666572, Unknown - artwork
413, 38.7475297, -9.1640598, Sem título - artwork
416, 38.7509081, -9.1612531, Corredor - artwork
417, 38.7494827, -9.1611593, Despertar - artwork
418, 38.7507546, -9.1618635, Salto em Altura - artwork
419, 38.7512505, -9.1626490, Jogador de Futebol Americano - artwork
421, 38.7531193, -9.1617605, Lançador de Disco - artwork
422, 38.7516117, -9.1631191, Lançador de Martelo - artwork
423, 38.7526909, -9.1626520, O Atleta - artwork
424, 38.7534512, -9.1612282, Esquiadora - artwork
425, 38.7603395, -9.1685873, Folhas - artwork
426, 38.7523857, -9.1637465, Halterofilista - artwork
427, 38.7599763, -9.1665515, Azulejos na Estação de Metro de Telheiras - artwork
428, 38.7528983, -9.1617911, Unknown - artwork
433, 38.7740870, -9.1622900, Sem título (Catarina Bela Cardoso Palhais) - artwork
444, 38.7073728, -9.1576735, Registo de azulejos com Nossa Senhora de Penha de França - artwork
445, 38.7090324, -9.1506133, Casa dos Parafusos - artwork
448, 38.7094570, -9.1511091, Street art - artwork
464, 38.7210726, -9.1554039, Brigadero Manuel da Maia - artwork
465, 38.7141119, -9.1534410, zaratan - artwork
467, 38.7147855, -9.1592074, O Cavador - artwork
468, 38.7149121, -9.1584611, Guardadora de Patos - artwork
469, 38.7158011, -9.1587207, Pedro Álvares Cabral - artwork
470, 38.7133822, -9.1536843, José Estêvão Coelho de Magalhães - artwork
471, 38.7150328, -9.1596638, Despertar - artwork
477, 38.7203904, -9.1535008, Caixa de Esmolas - artwork
478, 38.7118940, -9.1514837, Registo de azulejos com Nossa Senhora da Conceição - artwork
479, 38.7117743, -9.1503600, Registo de azulejos com a Sagrada Família no Regresso do Egipto - artwork
480, 38.7119884, -9.1516896, Registo de Azulejos com Cristo carregando a Cruz - artwork
481, 38.7119090, -9.1518792, Registo de Azulejos com Cristo morto nos braços de Sua Mãe - artwork
482, 38.7154402, -9.1517965, Painel de azulejos "Dança" - artwork
484, 38.7128320, -9.1529635, Por Timor - artwork
491, 38.7305301, -9.1532108, Estátua com Cavalo - artwork
492, 38.7310396, -9.1541797, Maternidade - artwork
494, 38.7280254, -9.1545273, Duas estátuas (duas figuras masculinas) - artwork
495, 38.7285717, -9.1546296, Nú de Mulher - artwork
496, 38.7289029, -9.1549570, Nayade - artwork
504, 38.7219659, -9.1558499, Ouranos II - artwork
506, 38.7280823, -9.1508441, Figura Feminina - artwork
507, 38.7281416, -9.1541401, Duas estátuas (figuras feminina, masculina) - artwork
508, 38.7300763, -9.1527203, Estátua com Veado - artwork
509, 38.7252919, -9.1500263, Marquês de Pombal - artwork
510, 38.7289089, -9.1518974, A Arte - artwork
511, 38.7295878, -9.1547646, Menina calçando meia - artwork
512, 38.7227737, -9.1517252, Sem título - artwork
513, 38.7223197, -9.1565076, João dos Santos - artwork
514, 38.7296104, -9.1526421, Escultura Feminina - artwork
515, 38.7282938, -9.1547288, Vento Garroa - artwork
516, 38.7279486, -9.1511956, Mãe;Filho - artwork
541, 38.7218061, -9.1558830, Cadeira - artwork
556, 38.7359040, -9.1538394, A Dor ou Dolorosa - artwork
557, 38.7322107, -9.1541797, O Segredo - artwork
558, 38.7320267, -9.1564131, A Justiça - artwork
559, 38.7364272, -9.1529291, Satyricon I - artwork
560, 38.7356426, -9.1541938, Castle of the Eye III - artwork
561, 38.7362804, -9.1547364, Papisa ou Coincidentia Oppositorum - artwork
562, 38.7360647, -9.1540574, Castle of the Eye I - artwork
563, 38.7380750, -9.1523601, Sem título - artwork
564, 38.7364841, -9.1531676, La Grande Sauterelle - artwork
565, 38.7410196, -9.1501726, Guerreiro - artwork
566, 38.7367843, -9.1529804, Nu feminino - artwork
576, 38.7357174, -9.1548700, Unknown - artwork
577, 38.7355371, -9.1547152, Unknown - artwork
578, 38.7371956, -9.1586287, Quatro Poços de Água no Parque - artwork
579, 38.7376676, -9.1574518, Quatro Poços de Água no Parque - artwork
583, 38.7494966, -9.1500423, Mulher segurando o Menino - artwork
584, 38.7501457, -9.1501090, Homenagem a Juan Pablo Duarte e Díez - artwork
592, 38.7502590, -9.1527089, Unknown - artwork
593, 38.7446626, -9.1505535, Mapa da Memória Inicial - artwork
595, 38.7516175, -9.1521917, O Saber - artwork
596, 38.7516999, -9.1522350, A Cultura - artwork
597, 38.7517674, -9.1522243, Fernão Lopes - artwork
598, 38.7518509, -9.1522678, Luís de Camões - artwork
599, 38.7518035, -9.1522440, Gil Vicente - artwork
600, 38.7518942, -9.1522902, Eça de Queiroz - artwork
603, 38.7555332, -9.1533333, Potros - artwork
604, 38.7612379, -9.1512044, Metrovóide - artwork
605, 38.7558849, -9.1528979, Mulher vendo-se ao espelho - artwork
606, 38.7515006, -9.1594610, Sem título - artwork
607, 38.7515007, -9.1500905, Sem título - artwork
608, 38.7560353, -9.1522913, Unknown - artwork
609, 38.7519361, -9.1585253, Unknown - artwork
631, 38.7779610, -9.1502348, Unknown - artwork
633, 38.7774964, -9.1500046, Unknown - artwork
638, 38.7876113, -9.1507527, sv - artwork
639, 38.7831816, -9.1595251, Unknown - artwork
640, 38.7832027, -9.1595394, Qvinta de Sta. Anna - artwork
645, 38.7060435, -9.1424331, Unknown - artwork
652, 38.7070838, -9.1467312, Marquês Sá da Bandeira - artwork
658, 38.7095391, -9.1475963, Adamastor - artwork
659, 38.7053021, -9.1451681, Unknown - artwork
660, 38.7100029, -9.1416927, Hommage a Pessoa - artwork
661, 38.7058221, -9.1435573, Marinheiro ao Leme - artwork
671, 38.7111368, -9.1403257, Oração Eucarística - artwork
672, 38.7102965, -9.1461234, Registo votivo de Nossa Senhora do Carmo ladeada por São Marçal e Santo António - artwork
674, 38.7105222, -9.1494752, Registo de azulejos com a Sagrada Família no regresso do Egito/São Marçal - artwork
675, 38.7113782, -9.1440821, Registo de azulejos de Alminhas - artwork
676, 38.7055911, -9.1436923, Painéis de azulejos Arte Nova - artwork
677, 38.7075154, -9.1419714, Painéis de azulejos da fachada de Antiga Fábrica/Loja de Tintas e Pincéis - artwork
682, 38.7072497, -9.1438450, Pink Street - artwork
715, 38.7142126, -9.1406314, optimum meeting - artwork
734, 38.7181013, -9.1440536, Douro - artwork
735, 38.7170044, -9.1425064, Pinheiro Chagas - artwork
736, 38.7183138, -9.1436503, Tejo - artwork
737, 38.7128935, -9.1463683, Escultura junto ao antigo Convento dos Inglesinhos - artwork
738, 38.7202125, -9.1490521, Mercúrio - artwork
744, 38.7133605, -9.1431460, Padre António Vieira - artwork
748, 38.7164799, -9.1473118, 7ª Sétima Colina - artwork
749, 38.7115644, -9.1444781, Unknown - artwork
750, 38.7114331, -9.1440200, Registo de azulejos com São Marçal - artwork
751, 38.7129963, -9.1439129, Registo de azulejos com São Marçal / Regresso do Egito / Santo António - artwork
752, 38.7115958, -9.1436921, Registo de azulejos com Nossa Senhora do Rosário/São Marçal - artwork
753, 38.7143423, -9.1453512, Registo de azulejos com São Marçal - artwork
756, 38.7118279, -9.1453249, Unknown - artwork
757, 38.7142334, -9.1464245, Graffiti - artwork
758, 38.7117847, -9.1445786, Unknown - artwork
773, 38.7145126, -9.1407341, A Alma De Um Povo O Fado - artwork
794, 38.7236034, -9.1482504, Almeida Garrett - artwork
795, 38.7230609, -9.1483834, António Feliciano de Castilho - artwork
796, 38.7232737, -9.1479884, Oliveira Martins - artwork
800, 38.7223728, -9.1472007, Sou Como Tu - artwork
801, 38.7254793, -9.1483463, Camilo Castelo Branco - artwork
802, 38.7285116, -9.1443633, O Trabalho - artwork
824, 38.7233822, -9.1486656, Alexandre Herculano - artwork
833, 38.7362481, -9.1421506, Memorial a Jorge Luís Borges - artwork
835, 38.7366516, -9.1405126, Unknown - artwork
839, 38.7390619, -9.1416607, Figura masculina (sem título) - artwork
840, 38.7322180, -9.1468979, Às Mães - artwork
841, 38.7316619, -9.1408692, Neptuno - artwork
842, 38.7394644, -9.1418516, Figura feminina (sem título) - artwork
848, 38.7325963, -9.1464281, Revestimento azulejar da Casa Malhoa - artwork
861, 38.7503856, -9.1493371, Actor António Pedro - artwork
862, 38.7495630, -9.1480652, Unknown - artwork
863, 38.7512333, -9.1440624, Arabesco - artwork
864, 38.7486550, -9.1420542, Homenagem do povo de Lisboa às vítimas do 11 de Setembro - artwork
865, 38.7512367, -9.1442263, Unknown - artwork
868, 38.7500182, -9.1490719, Bola em espiral - artwork
873, 38.7726680, -9.1491392, Corvos - artwork
893, 38.7114567, -9.1329640, Unknown - artwork
894, 38.7094950, -9.1322594, Azulejo Artwork - artwork
909, 38.7078773, -9.1395642, Grade - artwork
910, 38.7100762, -9.1340115, Santo António - artwork
916, 38.7106151, -9.1340905, Em homenagem ao Padre António Vieira - artwork
922, 38.7111124, -9.1305013, Painel de azulejos com Vista de Lisboa - artwork
928, 38.7102745, -9.1305971, Street art - artwork
940, 38.7122285, -9.1302211, S. Vicente - artwork
964, 38.7114567, -9.1329640, Unknown - artwork
966, 38.7161550, -9.1310107, Mãe;Filho - artwork
986, 38.7161363, -9.1343132, Unknown - artwork
990, 38.7208493, -9.1348870, Kit Garden - artwork
991, 38.7134054, -9.1337304, Nú Feminino - artwork
995, 38.7130880, -9.1307400, Mural Amália Rodrigues por Vhils - artwork
1000, 38.7135081, -9.1307914, Homenagem a Amália Rodrigues - artwork
1005, 38.7114302, -9.1392104, Registo publicitário em azulejo ao "Sabonete Santa Iria" - artwork
1006, 38.7117770, -9.1303688, Registo de Santa Luzia - artwork
1007, 38.7117684, -9.1303793, Painel de Azulejos "Terreiro do Paço" - artwork
1008, 38.7118566, -9.1302164, Painel de Azulejos "Conquista de Lisboa" - artwork
1009, 38.7127819, -9.1389835, Painéis de Azulejos do Antigo Animatógrafo do Rossio - artwork
1010, 38.7117626, -9.1385827, Painel de azulejos na fachada da Leitaria "A Camponeza" - artwork
1012, 38.7130658, -9.1352701, Unknown - artwork
1013, 38.7120808, -9.1328220, Unknown - artwork
1025, 38.7127128, -9.1357801, São Crisóvão - artwork
1026, 38.7201327, -9.1361508, Unknown - artwork
1030, 38.7115396, -9.1298713, Unknown - artwork
1051, 38.7311724, -9.1374388, Prometeu - artwork
1058, 38.7297461, -9.1338507, Unknown - artwork
1059, 38.7300540, -9.1307059, Registo de Azulejos Nossa Senhora da Penha de França com o Menino ao colo - artwork
1067, 38.7225630, -9.1325322, Unknown - artwork
1074, 38.7323347, -9.1363402, Monsenhor José de Freitas - artwork
1076, 38.7373450, -9.1305665, Tágide - artwork
1077, 38.7372851, -9.1304016, Sem título - artwork
1078, 38.7411117, -9.1382066, Estátuas alusivas ao Teatro - artwork
1079, 38.7369349, -9.1360998, Ad Ephemeram Gloriam - artwork
1080, 38.7384148, -9.1387144, Contrapunto - artwork
1081, 38.7373631, -9.1335064, Sem título - artwork
1082, 38.7410879, -9.1378648, O Poeta;a Musa - artwork
1083, 38.7411991, -9.1384979, As Três Graças - artwork
1084, 38.7372778, -9.1305819, Tejo - artwork
1087, 38.7372194, -9.1305527, Tágide - artwork
1088, 38.7371807, -9.1305058, Tágide - artwork
1089, 38.7373962, -9.1305259, Tágide - artwork
1093, 38.7398338, -9.1367398, Gato Assanhado - artwork
1095, 38.7461573, -9.1357812, Concepção - artwork
1096, 38.7454402, -9.1395557, Sem título - artwork
1097, 38.7434075, -9.1376826, A Família - artwork
1100, 38.7493644, -9.1395175, Unknown - artwork
1101, 38.7493201, -9.1386581, Unknown - artwork
1102, 38.7492757, -9.1377945, Unknown - artwork
1105, 38.7550224, -9.1367756, João de Deus Ramos - artwork
1117, 38.7112551, -9.1282378, Unknown - artwork
1118, 38.7107124, -9.1292634, Registo da Aparição da Virgem a São Domingos, oferecendo-lhe o Rosário - artwork
1121, 38.7126410, -9.1245476, Unknown - artwork
1127, 38.7158347, -9.1254443, Azulejo artwork - artwork
1130, 38.7185109, -9.1278829, Obey Giant & Vhils - artwork
1131, 38.7208436, -9.1295165, Obey Giant / Peace Guard - artwork
1137, 38.7123315, -9.1258854, Registo votivo da Aparição de Nossa Senhora da Nazaré a Dom Fuas Roupinho - artwork
1138, 38.7123035, -9.1276691, Registo votivo na fachada da Igreja de Santo Estêvão - artwork
1139, 38.7119160, -9.1287290, Registo de azulejos com Nossa Senhora da Conceição/São Marçal - artwork
1140, 38.7120372, -9.1292765, Registo de azulejos com São Marçal - artwork
1141, 38.7128446, -9.1257369, Registo votivo da Sagrada Família no Regresso do Egipto - artwork
1142, 38.7117267, -9.1280544, Registo votivo de cristo Crucificado ladeado por Nossa Senhora da Conceição e Nossa Senhora do Carmo - artwork
1143, 38.7130879, -9.1258174, Registo votivo de São Marçal e Santo António com o Menino - artwork
1144, 38.7172972, -9.1196674, Unknown - artwork
1149, 38.7171955, -9.1212688, Street art - artwork
1150, 38.7212934, -9.1290075, Street art favole - artwork
1151, 38.7205028, -9.1295719, Street art - artwork
1152, 38.7198333, -9.1295488, Street art - artwork
1153, 38.7199864, -9.1294510, Street art - artwork
1156, 38.7117037, -9.1288276, Santo António de Lisboa - artwork
1167, 38.7224326, -9.1286688, Street art - artwork
1168, 38.7245482, -9.1267981, Mural - artwork
1170, 38.7373882, -9.1271569, Painel de azulejos na fachada da Escola António Arroio - artwork
1179, 38.7636222, -9.1292007, São Cristóvão - artwork
1180, 38.7628728, -9.1295551, Relógios - artwork
1181, 38.7740594, -9.1265422, Unknown - artwork
1185, 38.7172972, -9.1196674, Unknown - artwork
1186, 38.7319840, -9.1147256, E entre gente remota edificaram - artwork
1187, 38.7535225, -9.1139868, Unknown - artwork
1189, 38.7613192, -9.1118092, Sem título - artwork
1190, 38.7627597, -9.1129901, As Oliveiras - artwork
1191, 38.7689029, -9.1157190, Recriação - artwork
1192, 38.7658727, -9.1164580, Homenagem a Fernando Pessoa - artwork
1198, 38.7709199, -9.1087349, Um olhar sobre a Cidade - artwork
1199, 38.7687781, -9.1066438, São José - artwork
1200, 38.7689442, -9.1071002, Unknown - artwork
1205, 38.7931198, -9.1036849, Homenagem ao Trabalhador Cerâmico - artwork
1206, 38.7435156, -9.0988122, Lisboa - Aos Construtores da Cidade - artwork
1207, 38.7554469, -9.0951614, Navigatio Sancti Brendanni Abbatis - artwork
1208, 38.7574427, -9.0933930, Onda Luso-Americana - artwork
1209, 38.7608792, -9.0924875, Reflexo do Céu, Navegante - artwork
1210, 38.7564877, -9.0938731, Rio vivo - artwork
1211, 38.7540688, -9.0968054, Sem título (Pedro Cabrita Reis) - artwork
1212, 38.7601129, -9.0933681, Simultaneidade Ajustada - artwork
1216, 38.7683874, -9.0922778, Lago das Tágides - artwork
1217, 38.7615412, -9.0954244, Girafa mirando-se ao espelho - artwork
1218, 38.7636115, -9.0950244, Calçada do Mar Português - artwork
1219, 38.7662545, -9.0958736, Caminhos de água - artwork
1220, 38.7617096, -9.0983498, Homenagem a Dom João II - artwork
1221, 38.7650361, -9.0950991, Horas de Chumbo - artwork
1222, 38.7673464, -9.0935337, Mar Largo - artwork
1223, 38.7628368, -9.0941371, Monstros marinhos - artwork
1224, 38.7670485, -9.0944276, Rizoma - artwork
1225, 38.7614933, -9.0935303, Unknown - artwork
1226, 38.7614955, -9.0957036, Unknown - artwork
1227, 38.7615621, -9.0949289, Unknown - artwork
1229, 38.7620533, -9.0962248, Unknown - artwork
1231, 38.7684726, -9.0963511, Sobre Mim - artwork
1232, 38.7652486, -9.0983857, Numa Porta Habitável em Vermelho e Verde - artwork
1233, 38.7675518, -9.0957621, Homem-Sol - artwork
1235, 38.7672679, -9.0945793, Lince Ibérico de Plástico (2019) - artwork
1238, 38.7715481, -9.0954388, Caminhos de água - artwork
1239, 38.7751132, -9.0919344, Cursiva - artwork
1240, 38.7768422, -9.0938792, Montanha-Rio - artwork
1241, 38.7788244, -9.0948031, Caminho - artwork
1242, 38.7811571, -9.0945382, Kanimambo - artwork
1243, 38.7800892, -9.0942500, 69 Homens de Bessines - artwork
1244, 38.7733070, -9.0977603, Silent Blow - artwork
1245, 38.7728303, -9.0978629, No Mar da Palha - artwork
1246, 38.7758752, -9.0921562, Homem Muralha - artwork
1247, 38.7736433, -9.0980219, Sem Título - artwork
