id,x_coord,y_coord,name
1, 45.4341230, 9.0595637, Unknown - information
7, 45.4695438, 9.0997269, Unknown - information
9, 45.5219111, 9.0935264, Unknown - information
11, 45.5200746, 9.0996512, ONU - information
12, 45.5203256, 9.0988096, ONU - information
13, 45.5204550, 9.0937873, ONU - information
14, 45.5207365, 9.0929240, ONU - information
15, 45.5209795, 9.0970395, ONU - information
16, 45.5218816, 9.0940153, ONU - information
17, 45.5221578, 9.0991614, Info disabilità - information
19, 45.4630729, 9.1021836, Mappa del Parco delle Cave - information
23, 45.4877360, 9.1035810, Unknown - information
25, 45.5195177, 9.1013595, Unknown - information
29, 45.5173316, 9.1079963, ONU - information
30, 45.5197132, 9.1102442, ONU - information
31, 45.5198197, 9.1093049, ONU - information
32, 45.5198653, 9.1030881, ONU - information
33, 45.5201507, 9.1017524, ONU - information
34, 45.4520128, 9.1175179, Unknown - information
38, 45.5181686, 9.1119708, ONU - information
39, 45.5187507, 9.1112758, ONU - information
40, 45.5171148, 9.1126440, Unknown - information
53, 45.4854985, 9.1408218, Unknown - information
54, 45.4855836, 9.1404205, Unknown - information
55, 45.4856192, 9.1401199, Unknown - information
56, 45.4855866, 9.1400339, Unknown - information
57, 45.4856741, 9.1397177, Unknown - information
58, 45.4857465, 9.1393389, Unknown - information
59, 45.4858513, 9.1389305, Unknown - information
60, 45.4858468, 9.1387089, Unknown - information
61, 45.4859589, 9.1388175, Unknown - information
62, 45.4859973, 9.1388340, Unknown - information
63, 45.4860090, 9.1385674, Unknown - information
64, 45.4860324, 9.1380206, Unknown - information
65, 45.4864100, 9.1368552, Unknown - information
66, 45.4863616, 9.1371267, Unknown - information
67, 45.4862253, 9.1374588, Unknown - information
68, 45.4861529, 9.1379220, Unknown - information
70, 45.4884755, 9.1372612, Unknown - information
71, 45.4884919, 9.1371150, Unknown - information
72, 45.4884754, 9.1369685, Unknown - information
73, 45.4884999, 9.1360152, Unknown - information
74, 45.4898405, 9.1364539, Unknown - information
75, 45.4902312, 9.1361294, Unknown - information
76, 45.4905702, 9.1360468, Unknown - information
77, 45.4913440, 9.1360064, Unknown - information
78, 45.4914494, 9.1358652, Unknown - information
79, 45.4915855, 9.1356613, Unknown - information
80, 45.4917979, 9.1352586, Unknown - information
