id,x_coord,y_coord,name
607,38.7515007,-9.1500905,Sem título - artwork
861,38.7503856,-9.1493371,Actor António Pedro - artwork
868,38.7500182,-9.1490719,Bola em espiral - artwork
584,38.7501457,-9.1501090,Homenagem a Juan Pablo Duarte e Díez - artwork
862,38.7495630,-9.1480652,Unknown - artwork
583,38.7494966,-9.1500423,Mulher segurando o Menino - artwork
595,38.7516175,-9.1521917,O Saber - artwork
597,38.7517674,-9.1522243,Fernão Lopes - artwork
596,38.7516999,-9.1522350,A Cultura - artwork
599,38.7518035,-9.1522440,Gil Vicente - artwork
589,45.4719567,9.1881334,Napoleone come Marte Pacificatore - artwork
587,45.4715333,9.1881455,Monumento a Francesco Hayez - artwork
581,45.4712963,9.1875442,Cavallo impennato - artwork
591,45.4702981,9.1852131,Grande Toscano - artwork
758,45.4720261,9.1920848,Statua di Vertumno - artwork
769,45.4722441,9.1923309,4 sedili in pietra - artwork
596,45.4720867,9.1826626,Torre a Spirale - artwork
630,45.4670688,9.1893227,Ricordi - artwork
736,45.4761716,9.1920018,Fontana di San Francesco - artwork
590,45.4682249,9.1822559,Giuseppe Garibaldi - artwork
210,54.9047039,23.9574682,Unknown - artwork
211,54.9031698,23.9590762,Unknown - artwork
212,54.9015051,23.9613424,Dadaistinė Mona Liza XXI amžiuje - artwork
201,54.9028160,23.9499569,Unknown - artwork
200,54.9027995,23.9495800,Fauna - artwork
202,54.9009221,23.9455092,Unknown - artwork
199,54.9009800,23.9449056,Stumbras - artwork
228,54.9064663,23.9743121,Taika - artwork
195,54.9018994,23.9392965,Sėdintis Vyras - artwork
193,54.8993380,23.9406196,Poilsis - artwork
